Date,Open,High,Low,Close,Volume
2019-01-09,57265,57638,55957,57079,138696
2019-01-10,57171,58106,56611,57079,132673
2019-01-11,57732,57732,56705,57452,93823
2019-01-14,57452,57452,56144,56238,143313
2019-01-15,56705,56891,55116,55304,187895
2019-01-16,55957,55957,53622,54464,186689
2019-01-17,54555,55490,53248,53249,189140
2019-01-18,53528,56051,53248,55865,259866
2019-01-21,56051,56051,54276,54837,120701
2019-01-22,55304,55677,54743,55397,94836
2019-01-23,54929,55490,54555,55211,67164
2019-01-24,55023,57171,54929,56798,213428
2019-01-25,57452,57452,56330,57172,139269
2019-01-28,58199,59413,57545,57826,186236
2019-01-29,57452,58106,56424,57452,101773
2019-01-30,57638,58666,57265,58200,115787
2019-01-31,58573,59320,58012,58761,168004
2019-02-01,59039,59134,58106,58200,88038
2019-02-07,58199,58760,57078,58294,87550
2019-02-08,57919,59134,57919,58106,81441
2019-02-11,58199,58946,58106,58667,93381
2019-02-12,58760,58946,57545,58294,87575
2019-02-13,58385,58760,57919,58480,80302
2019-02-14,58666,58760,57826,58480,79106
2019-02-15,58480,58946,57826,58106,76289
2019-02-18,58292,60254,58199,58854,160245
2019-02-19,58853,59600,58292,59227,120026
2019-02-20,59134,59320,58480,58480,79842
2019-02-21,58573,58853,56517,56986,156442
2019-02-22,57078,57265,56330,56612,107270
2019-02-25,55863,56798,55397,56051,127324
2019-02-26,56330,57732,56330,56519,112700
2019-02-27,57078,57171,56517,56705,47439
2019-02-28,56984,58292,55863,56612,215274
2019-03-04,57358,59413,57171,59321,267343
2019-03-05,59320,60628,58760,59695,168002
2019-03-06,60254,60441,57545,58200,190400
2019-03-07,58012,58480,56051,56893,119434
2019-03-08,56330,58199,56144,57640,118566
2019-03-11,56984,57826,56424,56986,73120
2019-03-12,57358,59600,57358,59508,275171
2019-03-13,59507,59881,58480,59321,97441
2019-03-14,59694,59787,57545,57546,142952
2019-03-15,57545,57732,56144,56519,155209
2019-03-18,56891,56984,56051,56332,89581
2019-03-19,56330,57171,56051,56144,118777
2019-03-20,56330,56611,55209,56238,101963
2019-03-21,56144,56424,55770,55958,75444
2019-03-22,56424,56424,55583,55678,67316
2019-03-25,55397,55583,54182,54276,100035
2019-03-26,53622,55023,52874,53622,122601
2019-03-27,53715,54089,51379,51381,199670
2019-03-28,50725,53061,50165,51100,142595
2019-03-29,51099,52221,50725,51754,96339
2019-04-01,51660,52500,51286,52221,74050
2019-04-02,52407,54182,52407,53622,127581
2019-04-03,53622,54369,52968,53996,82160
2019-04-04,53995,54369,53248,53715,52325
2019-04-05,53715,53995,53061,53436,40127
2019-04-08,53715,54276,53248,53996,54266
2019-04-09,54182,55116,53715,54650,149887
2019-04-10,54649,54743,53901,53996,126926
2019-04-11,54182,54649,54089,54464,58007
2019-04-12,54555,54743,53901,54557,52944
2019-04-15,54555,54649,53901,53903,65913
2019-04-16,53901,54649,53435,54464,61938
2019-04-17,54182,54649,53901,54089,41225
2019-04-18,54089,54089,52314,52502,87561
2019-04-19,52500,55677,52500,55211,225555
2019-04-22,55677,57171,55397,56238,204321
2019-04-23,56424,56798,55023,56238,117379
2019-04-24,56517,57078,55209,55678,86242
2019-04-25,56144,56237,54369,54743,74686
2019-04-26,54743,55397,54276,54650,63862
2019-04-29,55583,56330,54929,55865,79885
2019-04-30,55863,56424,54743,55491,65294
2019-05-02,55116,55490,54276,55397,66918
2019-05-03,55209,55397,54462,54557,47107
2019-05-07,54369,55770,53808,54930,80760
2019-05-08,54462,55490,53995,54183,57993
2019-05-09,54743,55116,52874,52875,125981
2019-05-10,52314,53435,50445,51381,121564
2019-05-13,50352,51753,49044,49045,104876
2019-05-14,47642,50165,47642,48858,93884
2019-05-15,49138,50819,49138,50820,72691
2019-05-16,50913,52033,50539,50539,77313
2019-05-17,52126,52221,50258,50353,60767
2019-05-20,50071,50632,48391,48765,80934
2019-05-21,46895,48110,46802,46990,185320
2019-05-22,47176,48484,47176,47830,85944
2019-05-23,47830,48296,46615,46802,82826
2019-05-24,46335,46988,45961,46709,105997
2019-05-27,46335,47269,44466,45682,114950
2019-05-28,45681,47736,45494,47737,120952
2019-05-29,47363,47736,46241,46663,76389
2019-05-30,47176,47269,45915,46663,67798
2019-05-31,46241,48016,46241,47737,83847
2019-06-03,47736,48296,46988,48111,52771
2019-06-04,47923,48484,47642,48111,59165
2019-06-05,48950,48950,47736,48204,54158
2019-06-07,49511,49511,48016,48111,43311
2019-06-10,48391,48391,47736,48298,34276
2019-06-11,48484,49231,48296,49138,81093
2019-06-12,48857,49324,48577,49231,41135
2019-06-13,49138,49511,48670,48952,126102
2019-06-14,49044,49044,47923,48111,39915
2019-06-17,47830,48577,47736,48298,36475
2019-06-18,48016,48857,47923,48017,53397
2019-06-19,48110,48857,48110,48298,44878
2019-06-20,48296,48764,48203,48578,44153
2019-06-21,48577,48857,47923,48111,44189
2019-06-24,48110,48296,47456,47457,30620
2019-06-25,47456,47923,46802,47363,53616
2019-06-26,46895,47642,46802,46990,48915
2019-06-27,46802,47363,45868,45962,111651
2019-06-28,46008,46381,44700,44887,164542
2019-07-01,45120,46101,44840,46055,121047
2019-07-02,46055,46148,44934,45028,64751
2019-07-03,45027,45401,44466,44794,80168
2019-07-04,44794,44934,42925,43767,110365
2019-07-05,43766,44840,43439,44841,67680
2019-07-08,44326,44933,43579,43626,59578
2019-07-09,43252,43859,38955,39656,330462
2019-07-10,39702,40964,39328,39563,128863
2019-07-11,39609,40776,39609,40450,75705
2019-07-12,40403,41150,40075,40124,67622
2019-07-15,40216,40403,38534,38816,86152
2019-07-16,38861,39656,38721,38816,105487
2019-07-17,39235,39235,37741,37974,123320
2019-07-18,37834,37834,36713,37181,131672
2019-07-19,36899,38160,36899,38022,106027
2019-07-22,38114,38814,37974,38162,59719
2019-07-23,37927,38581,37460,37741,48508
2019-07-24,38067,38160,37367,37367,53621
2019-07-25,37273,37787,36526,37181,83940
2019-07-26,37273,37881,36899,37508,118406
2019-07-29,37227,37367,35872,35873,101624
2019-07-30,35872,36245,34237,34238,319479
2019-07-31,33630,34517,31808,33537,327755
2019-08-01,33069,34424,32836,32837,145472
2019-08-02,31901,33303,31621,32229,208777
2019-08-05,31761,32182,28399,28399,444769
2019-08-06,26950,30267,26763,27885,575995
2019-08-07,28865,29379,28071,28727,233230
2019-08-08,29099,30033,29006,29988,150647
2019-08-09,30314,30594,29426,29847,163200
2019-08-12,29519,29846,28725,29287,129873
2019-08-13,29192,29613,28725,28867,140914
2019-08-14,29800,29893,28959,29053,135010
2019-08-16,28865,29192,28585,28773,107654
2019-08-19,29332,29332,28585,28820,83357
2019-08-20,28678,29660,28678,29567,91907
2019-08-21,29567,30547,29192,30174,150298
2019-08-22,30407,30594,29613,29660,107927
2019-08-23,29426,29660,29099,29193,79137
2019-08-26,28492,28632,27091,27091,238149
2019-08-27,27557,28492,27464,28166,250820
2019-08-28,28071,30547,27838,30361,241117
2019-08-29,30407,31201,29846,30782,230850
2019-08-30,31668,31715,30547,30921,140646
2019-09-02,30780,31341,30126,31109,125818
2019-09-03,31014,31715,30874,31202,100403
2019-09-04,30874,32275,30874,31529,114800
2019-09-05,32135,32182,31061,31156,134048
2019-09-06,31247,31482,30874,31482,53822
2019-09-09,31715,31761,30874,31156,74387
2019-09-10,30968,31435,30874,30968,54128
2019-09-11,31247,32135,31061,31529,161071
2019-09-16,31668,32929,31014,32837,170953
2019-09-17,32836,37087,32369,34892,490365
2019-09-18,34984,36385,34751,35079,233976
2019-09-19,35171,36012,34330,34658,165549
2019-09-20,34611,35685,34611,35499,120558
2019-09-23,36012,36059,34658,34939,151113
