종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"001520","동양","KOSPI","비금속광물","1810","5","0.28","432018154030"
"001527","동양2우B","KOSPI","비금속광물","17300","100","0.58","5338243700"
"001529","동양3우B","KOSPI","비금속광물","42100","-500","-1.17","3777296200"
"084670","동양고속","KOSPI","운수창고업","21850","50","0.23","63268182650"
"082640","동양생명","KOSPI","보험","5670","210","3.85","914903176950"
"001525","동양우","KOSPI","비금속광물","8600","-120","-1.38","5312486600"
"008970","동양철관","KOSPI","철강금속","1580","35","2.27","187838758200"
"092780","동양피스톤","KOSPI","운수장비","7280","-200","-2.67","95866388800"
"049770","동원F&B","KOSPI","음식료품","205500","-2500","-1.20","793049982000"
"018500","동원금속","KOSPI","운수장비","1035","10","0.98","48391355655"
"006040","동원산업","KOSPI","농업, 임업 및 어업","243000","-2000","-0.82","893666763000"
"030720","동원수산","KOSPI","농업, 임업 및 어업","9520","50","0.53","44304223600"
"014820","동원시스템즈","KOSPI","화학","56800","-1400","-2.41","1455131424800"
"014825","동원시스템즈우","KOSPI","화학","37800","-600","-1.56","10030532400"
"163560","동일고무벨트","KOSPI","화학","8660","20","0.23","120374000000"
"004890","동일산업","KOSPI","철강금속","113000","1500","1.35","274049295000"
"002690","동일제강","KOSPI","철강금속","4340","0","0.00","65100000000"
"000020","동화약품","KOSPI","의약품","15200","450","3.05","424558344000"
"000150","두산","KOSPI","서비스업","94700","-5300","-5.30","1564807174500"
"000157","두산2우B","KOSPI","서비스업","127500","-7500","-5.56","113862345000"
"241560","두산밥캣","KOSPI","기계","42000","-700","-1.64","4210464972000"
"000155","두산우","KOSPI","서비스업","66300","-1600","-2.36","264965430600"
"042670","두산인프라코어","KOSPI","기계","11900","-400","-3.25","934949561000"
"034020","두산중공업","KOSPI","기계","21300","-600","-2.74","10945410168600"
"336260","두산퓨얼셀","KOSPI","전기전자","52800","200","0.38","3458068732800"
"33626K","두산퓨얼셀1우","KOSPI","전기전자","16100","0","0.00","215163620000"
"33626L","두산퓨얼셀2우B","KOSPI","전기전자","22450","-50","-0.22","67042435000"
"016740","두올","KOSPI","운수장비","5250","210","4.17","151550070000"
"192650","드림텍","KOSPI","전기전자","12450","350","2.89","812901223950"
"024090","디씨엠","KOSPI","철강금속","17250","-250","-1.43","201825000000"
"003160","디아이","KOSPI","의료정밀","9230","-260","-2.74","290715325550"
"092200","디아이씨","KOSPI","운수장비","5540","-80","-1.42","215442672260"
"377190","디앤디플랫폼리츠","KOSPI","서비스업","5320","-40","-0.75","342608000000"
"013570","디와이","KOSPI","기타금융","5740","-60","-1.03","151074693420"
"210540","디와이파워","KOSPI","기계","15350","-50","-0.32","169490217800"
"007340","디티알오토모티브","KOSPI","전기전자","48000","-1000","-2.04","479712240000"
"026890","디피씨","KOSPI","전기전자","14650","-150","-1.01","610585263750"
"115390","락앤락","KOSPI","화학","11750","-100","-0.84","622839746500"
"032350","롯데관광개발","KOSPI","서비스업","19450","0","0.00","1347411625900"
"089860","롯데렌탈","KOSPI","서비스업","49150","-250","-0.51","1800564196450"
"330590","롯데리츠","KOSPI","서비스업","5640","-120","-2.08","1370344505760"
"000400","롯데손해보험","KOSPI","보험","1830","15","0.83","567915465600"
"023530","롯데쇼핑","KOSPI","유통업","109000","2000","1.87","3083474295000"
"004000","롯데정밀화학","KOSPI","화학","70500","0","0.00","1818900000000"
"286940","롯데정보통신","KOSPI","서비스업","38100","150","0.40","586600211100"
"280360","롯데제과","KOSPI","음식료품","136500","-500","-0.36","875881870500"
"004990","롯데지주","KOSPI","기타금융","35550","-450","-1.25","3729523375350"
"00499K","롯데지주우","KOSPI","기타금융","54700","-800","-1.44","54022978100"
"005300","롯데칠성","KOSPI","음식료품","144000","-1000","-0.69","1336159296000"
"005305","롯데칠성우","KOSPI","음식료품","76900","900","1.18","59621339000"
"011170","롯데케미칼","KOSPI","화학","246000","-500","-0.20","8431753074000"
"002270","롯데푸드","KOSPI","음식료품","427000","2500","0.59","516266485000"
"071840","롯데하이마트","KOSPI","유통업","31550","-100","-0.32","744823313600"
"027740","마니커","KOSPI","음식료품","486","-2","-0.41","96457680684"
"204320","만도","KOSPI","운수장비","60300","-600","-0.99","2831514336000"
"001080","만호제강","KOSPI","철강금속","22800","600","2.70","94620000000"
"088980","맥쿼리인프라","KOSPI","기타금융","12550","0","0.00","5080811614850"
"094800","맵스리얼티1","KOSPI","기타금융","4645","10","0.22","431215467495"
"138040","메리츠금융지주","KOSPI","기타금융","31700","950","3.09","4248158019800"
"008560","메리츠증권","KOSPI","증권","5710","200","3.63","3892681606090"
"000060","메리츠화재","KOSPI","보험","29700","500","1.71","3582562500000"
"090370","메타랩스","KOSPI","섬유의복","1130","45","4.15","74448144820"
"017180","명문제약","KOSPI","의약품","5570","10","0.18","189120738780"
"009900","명신산업","KOSPI","운수장비","30250","-850","-2.73","1587221523250"
"012690","모나리자","KOSPI","종이목재","4585","-15","-0.33","167679204175"
"005360","모나미","KOSPI","유통업","5120","-70","-1.35","96754211840"
"204210","모두투어리츠","KOSPI","서비스업","3990","-10","-0.25","31228991850"
"009680","모토닉","KOSPI","운수장비","12550","150","1.21","414150000000"
"009580","무림P&P","KOSPI","종이목재","4775","5","0.10","297808747100"
"009200","무림페이퍼","KOSPI","종이목재","3020","45","1.51","125660116200"
"033920","무학","KOSPI","음식료품","9040","190","2.15","257640000000"
"008420","문배철강","KOSPI","철강금속","4915","140","2.93","100774727075"
"025560","미래산업","KOSPI","의료정밀","14900","100","0.68","66334904300"
"007120","미래아이앤지","KOSPI","서비스업","577","11","1.94","74712353396"
"357250","미래에셋맵스리츠","KOSPI","서비스업","4995","5","0.10","100399500000"
"085620","미래에셋생명","KOSPI","보험","4460","85","1.94","789492202940"
"006800","미래에셋증권","KOSPI","증권","8900","-60","-0.67","5654316031200"
"00680K","미래에셋증권2우B","KOSPI","증권","4740","-25","-0.52","663600000000"
"006805","미래에셋증권우","KOSPI","증권","6090","30","0.50","85721317500"
"002840","미원상사","KOSPI","화학","204500","500","0.25","1016365000000"
"268280","미원에스씨","KOSPI","화학","185000","-1500","-0.80","943500000000"
"107590","미원홀딩스","KOSPI","기타금융","129500","-500","-0.38","300440000000"
"134380","미원화학","KOSPI","화학","79900","0","0.00","175721513200"
"003650","미창석유","KOSPI","화학","78200","100","0.13","136042350400"
"155900","바다로19호","KOSPI","서비스업","2790","0","0.00","42408011160"
"003610","방림","KOSPI","섬유의복","2530","10","0.40","107054647700"
"001340","백광산업","KOSPI","화학","5570","-70","-1.24","250195526990"
"035150","백산","KOSPI","화학","9380","200","2.18","226996000000"
"002410","범양건영","KOSPI","건설업","10350","-2450","-19.14","257011013700"
"096300","베트남개발1","KOSPI","기타금융","235","1","0.43","32354849585"
