종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"094820","일진파워","KOSDAQ","건설","12800","2920","29.55","193007475200"
"950140","잉글우드랩","KOSDAQ","화학","10500","400","3.96","208612593000"
"049550","잉크테크","KOSDAQ","화학","8200","0","0.00","159030447400"
"254120","자비스","KOSDAQ","기계·장비","2440","0","0.00","54124609480"
"221610","자안바이오","KOSDAQ","화학","2995","0","0.00","19931117015"
"219550","자안코스메틱","KOSDAQ","유통","3975","-170","-4.10","31731574350"
"043910","자연과환경","KOSDAQ","기타서비스","2200","45","2.09","135858386400"
"234920","자이글","KOSDAQ","일반전기전자","4330","50","1.17","58588840300"
"289220","자이언트스텝","KOSDAQ","오락·문화","82400","-4000","-4.63","795635036000"
"174880","장원테크","KOSDAQ","통신장비","4910","-5","-0.10","93860753130"
"049630","재영솔루텍","KOSDAQ","IT부품","1505","345","29.74","116412210530"
"110020","전진바이오팜","KOSDAQ","화학","6010","-170","-2.75","38111627690"
"208140","정다운","KOSDAQ","음식료·담배","3665","70","1.95","119221804960"
"022220","정산애강","KOSDAQ","화학","2485","45","1.84","128709528815"
"040420","정상제이엘에스","KOSDAQ","기타서비스","7290","50","0.69","114289354080"
"045510","정원엔시스","KOSDAQ","컴퓨터서비스","2855","75","2.70","91957528660"
"217190","제너셈","KOSDAQ","반도체","10500","-150","-1.41","92076327000"
"095700","제넥신","KOSDAQ","기타서비스","75600","-100","-0.13","1890713059200"
"072520","제넨바이오","KOSDAQ","유통","1435","25","1.77","288757467460"
"122310","제노레이","KOSDAQ","의료·정밀기기","10150","-50","-0.49","147721516600"
"361390","제노코","KOSDAQ","통신장비","62700","4100","7.00","153122178000"
"187420","제노포커스","KOSDAQ","제약","10850","-150","-1.36","244114258500"
"225220","제놀루션","KOSDAQ","제약","16850","250","1.51","161206983000"
"123330","제닉","KOSDAQ","화학","6470","90","1.41","45290000000"
"159580","제로투세븐","KOSDAQ","유통","11650","-100","-0.85","233380209400"
"147830","제룡산업","KOSDAQ","금속","7190","60","0.84","71900000000"
"033100","제룡전기","KOSDAQ","IT부품","6270","-40","-0.63","100711304430"
"079370","제우스","KOSDAQ","기계·장비","23550","-550","-2.28","244543200000"
"054950","제이브이엠","KOSDAQ","기계·장비","16750","-200","-1.18","202505691000"
"090470","제이스텍","KOSDAQ","반도체","7180","0","0.00","104812261440"
"287410","제이시스메디칼","KOSDAQ","의료·정밀기기","7940","-40","-0.50","560837707680"
"137950","제이씨케미칼","KOSDAQ","화학","11300","-150","-1.31","251626298200"
"033320","제이씨현시스템","KOSDAQ","유통","7120","40","0.56","136094755840"
"204270","제이앤티씨","KOSDAQ","일반전기전자","9260","-70","-0.75","535676795160"
"026040","제이에스티나","KOSDAQ","기타제조","3235","70","2.21","53389760650"
"126880","제이엔케이히터","KOSDAQ","기계·장비","7390","0","0.00","171484233170"
"322510","제이엘케이","KOSDAQ","소프트웨어","6870","130","1.93","104155994430"
"033050","제이엠아이","KOSDAQ","출판·매체복제","1650","-5","-0.30","53755914300"
"094970","제이엠티","KOSDAQ","IT부품","4115","95","2.36","68919007600"
"058420","제이웨이","KOSDAQ","오락·문화","2160","0","0.00","7799412240"
"089790","제이티","KOSDAQ","반도체","10400","-350","-3.26","107281335200"
"052670","제일바이오","KOSDAQ","제약","4025","60","1.51","117244482600"
"199820","제일전기공업","KOSDAQ","일반전기전자","19000","-50","-0.26","211090000000"
"023440","제일제강","KOSDAQ","금속","3150","-90","-2.78","109652980500"
"038010","제일테크노스","KOSDAQ","금속","6040","-30","-0.49","54360000000"
"276730","제주맥주","KOSDAQ","음식료·담배","3110","-35","-1.11","175669783710"
"080220","제주반도체","KOSDAQ","반도체","5170","-110","-2.08","178069446610"
"216080","제테마","KOSDAQ","제약","37400","1300","3.60","663055586600"
"229000","젠큐릭스","KOSDAQ","제약","21200","650","3.16","139038525200"
"082270","젬백스","KOSDAQ","기계·장비","21800","0","0.00","867597686200"
"064800","젬백스링크","KOSDAQ","유통","1715","5","0.29","142509219825"
"041590","젬백스지오","KOSDAQ","건설","1120","-40","-3.45","96841802400"
"044060","조광ILI","KOSDAQ","기계·장비","8600","-90","-1.04","119117817400"
"034940","조아제약","KOSDAQ","제약","4410","-60","-1.34","136621037070"
"067000","조이시티","KOSDAQ","디지털컨텐츠","11500","0","0.00","521170305500"
"033340","좋은사람들","KOSDAQ","섬유·의류","1055","0","0.00","52653176320"
"036930","주성엔지니어링","KOSDAQ","반도체","12000","300","2.56","578990544000"
"239340","줌인터넷","KOSDAQ","인터넷","5940","0","0.00","160259025960"
"051980","중앙디앤엠","KOSDAQ","화학","1510","185","13.96","105525681070"
"072020","중앙백신","KOSDAQ","제약","16350","100","0.62","162846000000"
"000440","중앙에너비스","KOSDAQ","유통","14700","-50","-0.34","91538811000"
"078650","지나인제약","KOSDAQ","의료·정밀기기","593","-3","-0.50","44348043444"
"228760","지노믹트리","KOSDAQ","제약","13100","0","0.00","266290407200"
"314130","지놈앤컴퍼니","KOSDAQ","제약","56300","2300","4.26","757092279500"
"043610","지니뮤직","KOSDAQ","디지털컨텐츠","6110","170","2.86","355085326180"
"263860","지니언스","KOSDAQ","소프트웨어","7430","30","0.41","70173378000"
"303030","지니틱스","KOSDAQ","반도체","3195","105","3.40","114207409260"
"036180","지더블유바이텍","KOSDAQ","유통","3250","-65","-1.96","96740231250"
"208350","지란지교시큐리티","KOSDAQ","출판·매체복제","6160","-20","-0.32","51168292560"
"114570","지스마트글로벌","KOSDAQ","유통","620","0","0.00","7030424280"
"051160","지어소프트","KOSDAQ","소프트웨어","25100","-50","-0.20","365821330500"
"053050","지에스이","KOSDAQ","전기·가스·수도","1815","-10","-0.55","54427488555"
"119850","지엔씨에너지","KOSDAQ","일반전기전자","4880","35","0.72","80270675920"
"270520","지엔원에너지","KOSDAQ","기타서비스","3430","-65","-1.86","107046554440"
"065060","지엔코","KOSDAQ","섬유·의류","907","11","1.23","88893295908"
"204840","지엘팜텍","KOSDAQ","기타서비스","1195","0","0.00","62004778580"
"111820","지유온","KOSDAQ","인터넷","2470","0","0.00","72867415660"
"115450","지트리비앤티","KOSDAQ","유통","10450","-300","-2.79","283069798550"
"219750","지티지웰니스","KOSDAQ","의료·정밀기기","2695","-5","-0.19","47002923660"
"018120","진로발효","KOSDAQ","음식료·담배","32000","-150","-0.47","211875840000"
"109820","진매트릭스","KOSDAQ","기타서비스","11900","-100","-0.83","242684316000"
"086060","진바이오텍","KOSDAQ","음식료·담배","6050","0","0.00","52094051350"
"036890","진성티이씨","KOSDAQ","기계·장비","13400","-300","-2.19","301262391200"
"363250","진시스템","KOSDAQ","의료·정밀기기","13900","200","1.46","94674012000"
"007370","진양제약","KOSDAQ","제약","8220","190","2.37","98640000000"
"085660","차바이오텍","KOSDAQ","제약","24000","50","0.21","1350252768000"
"158310","참존글로벌","KOSDAQ","기계·장비","1015","0","0.00","48320266610"
"094850","참좋은여행","KOSDAQ","기타서비스","15250","-50","-0.33","213500000000"
"004650","창해에탄올","KOSDAQ","음식료·담배","13350","0","0.00","122698314750"
"311690","천랩","KOSDAQ","기타서비스","46300","-350","-0.75","181025962400"
"278280","천보","KOSDAQ","화학","230500","-11400","-4.71","2305000000000"
"096240","청담러닝","KOSDAQ","기타서비스","31050","550","1.80","232062297300"
