Date,Open,High,Low,Close,Volume
2020-10-27,79925,82965,79827,81593,794786
2020-10-28,82279,83848,81494,83652,526066
2020-10-29,82377,87673,82181,87477,1108251
2020-10-30,87182,87182,83064,83064,847143
2020-11-02,83750,84927,82573,83554,493606
2020-11-03,84240,87673,84240,87183,1036133
2020-11-04,88555,89536,86104,88948,1359794
2020-11-05,90124,90321,88457,89831,897502
2020-11-06,90321,91694,89242,89733,1066885
2020-11-09,90811,91497,90223,90517,809775
2020-11-10,90223,90223,87967,88556,978052
2020-11-11,88359,94832,88163,93165,2623713
2020-11-12,93263,93851,91792,92479,968190
2020-11-13,92380,93067,89830,91988,760675
2020-11-16,92674,93459,91988,92675,652961
2020-11-17,93067,94439,91497,92577,1011729
2020-11-18,92870,94832,92282,94146,909291
2020-11-19,96009,96597,94636,95813,1137609
2020-11-20,95420,97382,95322,96794,813998
2020-11-23,97872,99637,97382,97970,1292350
2020-11-24,98951,99539,96695,97872,935227
2020-11-25,99147,123566,98264,106012,23442556
2020-11-26,107875,110817,102971,107581,4752009
2020-11-27,110130,116505,108954,114936,6976252
2020-11-30,118368,126508,118074,119742,10033713
2020-12-01,123860,125723,119055,123566,4373742
2020-12-02,125233,127881,122389,127881,4789855
2020-12-03,126508,137197,125625,133275,6102861
2020-12-04,136413,148279,134353,146809,9010188
2020-12-07,158478,169070,147298,168482,10895573
2020-12-08,164264,169756,139943,140336,14369185
2020-12-09,143180,151810,135922,147103,11850887
2020-12-10,143180,154948,142297,153870,6699300
2020-12-11,161126,161813,155536,156027,3703449
2020-12-14,160145,162793,153084,158086,5073431
2020-12-15,160145,160342,149260,159165,6730500
2020-12-16,159851,159851,155046,155537,2414606
2020-12-17,152104,158478,151810,155733,2564161
2020-12-18,156517,160342,155438,159754,2796073
2020-12-21,163186,174954,161028,173483,8263141
2020-12-22,173287,175738,168187,169855,5208340
2020-12-23,173973,174169,166912,166913,4103100
2020-12-24,167010,169462,160832,164755,3948332
2020-12-28,166520,174463,154654,157400,11782710
2020-12-29,173000,173000,165900,167900,7476970
2020-12-30,166600,168000,160100,163000,4253671
2021-01-04,156600,156900,147900,151300,5524590
2021-01-05,152500,156700,148500,152300,3289906
2021-01-06,153100,154000,150300,150300,1761415
2021-01-07,151900,156500,149100,154700,2685377
2021-01-08,158000,163200,153800,162900,3423093
2021-01-11,167300,174800,163500,173000,6049547
2021-01-12,174300,177100,165900,172000,4659748
2021-01-13,170200,174300,167000,169800,3510841
2021-01-14,161100,165000,153700,155900,5380533
2021-01-15,148800,154100,140200,143400,5894118
2021-01-18,143000,155000,128800,139200,5923540
2021-01-19,139200,143000,130800,140000,4886344
2021-01-20,142400,148200,140000,140900,2565065
2021-01-21,142400,144000,139000,143000,1721584
2021-01-22,143000,146300,141600,144600,1434036
2021-01-25,146500,152400,144600,152400,1894255
2021-01-26,155000,158900,151200,152400,2355215
2021-01-27,154100,156400,148200,152600,2356145
2021-01-28,148000,154800,146600,149200,1863912
2021-01-29,149700,151600,143700,143700,1672164
2021-02-01,146600,160500,146500,157500,4490066
2021-02-02,157200,157500,150000,150600,2291704
2021-02-03,151100,151500,146000,149200,1568458
2021-02-04,148300,151300,146000,149700,1114726
2021-02-05,150700,154400,146000,148500,2430076
2021-02-08,150500,151500,146000,146000,886401
2021-02-09,146000,146500,142100,142300,1167974
2021-02-10,141600,143600,141000,141400,853878
2021-02-15,144600,146100,142700,143200,773245
2021-02-16,143500,144100,138800,139400,1419881
2021-02-17,138900,142800,135200,140000,1625392
2021-02-18,140100,143600,136000,136000,1088882
2021-02-19,135300,137800,132100,136000,1060580
2021-02-22,137300,138200,131600,132300,953443
2021-02-23,131600,133500,126400,126600,1858977
2021-02-24,124000,129000,120600,121200,2217654
2021-02-25,123500,131100,122300,130700,2082182
2021-02-26,126400,129400,124000,125600,1512884
2021-03-02,128400,131200,123500,125200,1019622
2021-03-03,125600,130300,124300,129400,971057
2021-03-04,130100,132400,127100,130900,1039001
2021-03-05,130800,132200,127900,129200,932874
2021-03-08,129800,130300,123600,123600,854941
2021-03-09,122300,123500,118200,120700,1424346
2021-03-10,122000,124000,118500,118500,897551
2021-03-11,118000,123900,117900,123200,1087806
2021-03-12,124600,127300,122600,127100,761405
