Date,Open,High,Low,Close,Volume
2021-01-07,156915,157905,155430,155430,139860
2021-01-08,156420,160380,153450,158895,285332
2021-01-11,160380,160875,152460,152955,253932
2021-01-12,152955,155430,148500,151965,202504
2021-01-13,151965,178200,151470,166815,2079262
2021-01-14,164835,168795,161865,164340,341487
2021-01-15,159390,160875,155430,155430,689611
2021-01-18,154440,166815,152955,163845,630687
2021-01-19,166320,172755,165330,171765,459733
2021-01-20,172260,175230,167310,174240,423998
2021-01-21,176220,176220,171270,171270,242491
2021-01-22,171270,196020,169785,190575,2251812
2021-01-25,199980,214830,195525,201465,1884652
2021-01-26,201465,216810,192555,208395,906368
2021-01-27,205920,219285,204434,205425,1003201
2021-01-28,210870,222750,206415,217800,1653828
2021-01-29,219780,219780,198495,202455,773127
2021-02-01,202455,215325,197009,215325,608089
2021-02-02,216810,240075,211365,230175,1363038
2021-02-03,229185,238589,223245,230175,545274
2021-02-04,231660,244530,226215,239085,861501
2021-02-05,241065,247005,235125,240570,400509
2021-02-08,244530,248985,240570,243045,327089
2021-02-09,239580,240075,227699,228690,583871
2021-02-10,229680,238590,228195,229185,389109
2021-02-15,230670,234630,223740,224235,306380
2021-02-16,225720,253935,225225,245520,935265
2021-02-17,245025,252450,239580,246510,393721
2021-02-18,252450,256410,237105,239085,436416
2021-02-19,240075,243540,226710,232155,342692
2021-02-22,233640,234135,224235,224730,225597
2021-02-23,225225,232155,218790,226215,209046
2021-02-24,232154,237105,207900,208890,572749
2021-02-25,212850,214335,202950,209880,385862
2021-02-26,200475,206910,198495,204435,274114
2021-03-02,210870,214335,203940,204930,176498
2021-03-03,207900,212355,205919,210375,726953
2021-03-04,207405,214830,206910,210870,235437
2021-03-05,207405,207899,202455,205425,166537
2021-03-08,207405,213345,203940,205920,283093
2021-03-09,207405,208890,195030,198000,303435
2021-03-10,201465,201960,190575,191070,215289
2021-03-11,192555,211365,191070,209385,446049
2021-03-12,212850,226215,212355,225720,461596
2021-03-15,217800,224235,211860,215820,355512
2021-03-16,218789,220770,213840,216810,181446
2021-03-17,217800,231660,217800,228690,387484
2021-03-18,229680,233145,227700,231660,255292
2021-03-19,226215,229185,220770,223740,211070
2021-03-22,225225,232155,224235,227700,202809
2021-03-23,229680,232155,217800,219780,182932
2021-03-24,218789,223245,213840,216810,144804
2021-03-25,216810,233145,216315,233145,306749
2021-03-26,234630,240570,226710,239580,396518
2021-03-29,241065,241065,231659,234135,225213
2021-03-30,235620,246015,234630,240075,359390
2021-03-31,242550,248490,238590,240570,276932
2021-04-01,243540,244530,231660,236610,281903
2021-04-02,237600,241065,231660,240570,586848
2021-04-05,252450,262350,241065,245520,1677346
2021-04-06,250470,261855,248985,256410,922890
2021-04-07,259380,276705,253935,273240,1032090
2021-04-08,275220,282150,262350,264330,633549
2021-04-09,265320,269280,254430,255420,510218
2021-04-12,253440,259875,247500,249975,458542
2021-04-13,252945,255915,248985,249975,320695
2021-04-14,239085,244530,229680,233145,1019699
2021-04-15,225225,252450,225225,247500,1256775
2021-04-16,253500,255500,242500,249000,440679
2021-04-19,250000,254000,240500,241500,347666
2021-04-20,241000,247500,239500,242000,215412
2021-04-21,242000,246500,241000,242000,231381
2021-04-22,246000,256000,245500,255000,446672
2021-04-23,256000,261500,251500,258500,285699
2021-04-26,260000,262500,255500,259000,216884
2021-04-27,260000,264500,255000,256000,234760
2021-04-28,257000,258500,242000,244000,412618
2021-04-29,247000,247500,242000,243500,176278
2021-04-30,244500,249000,240000,243000,183616
2021-05-03,243000,245000,234000,236500,195301
2021-05-04,237000,240500,234000,239500,196353
2021-05-06,240000,251000,237000,251000,264248
2021-05-07,253500,256000,249000,252500,193831
2021-05-10,255500,262000,253500,258500,257309
