Date,Open,High,Low,Close,Volume
2018-10-25,19527,19527,18464,18907,1024715
2018-10-26,19068,19168,18044,18245,653419
2018-10-29,18042,18544,17501,17582,599252
2018-10-30,17260,18283,17260,18164,521229
2018-10-31,18244,18624,18003,18385,336787
2018-11-01,18464,19186,18444,18686,372853
2018-11-02,19108,19770,18887,19710,409600
2018-11-05,19469,19549,19007,19168,339846
2018-11-06,19208,19569,19068,19389,195992
2018-11-07,19487,19608,19107,19188,269320
2018-11-08,19649,20471,19629,20071,644793
2018-11-09,20071,20473,19810,20172,292309
2018-11-12,20272,20372,20071,20272,201208
2018-11-13,19829,20371,19809,20372,278476
2018-11-14,20572,20872,20371,20673,281601
2018-11-15,20572,20873,20371,20874,170612
2018-11-16,21075,21275,20473,20573,206149
2018-11-19,20572,21575,20572,21476,346393
2018-11-20,21375,21575,21074,21476,234825
2018-11-21,21075,21577,20974,21577,206018
2018-11-22,21476,21577,21275,21376,143409
2018-11-23,21476,21978,21275,21677,242633
2018-11-26,21576,22679,21576,22580,460406
2018-11-27,22681,22881,22078,22179,270808
2018-11-28,22379,22681,22279,22480,185906
2018-11-29,22681,22881,22279,22480,263008
2018-11-30,22479,22679,22378,22580,346553
2018-12-03,22982,23082,22580,22781,262030
2018-12-04,22881,23082,22681,22781,264857
2018-12-05,22480,23082,22379,22982,222316
2018-12-06,23081,23584,22982,23283,396531
2018-12-07,23383,23483,22480,22982,354995
2018-12-10,22679,22779,22077,22279,331087
2018-12-11,22076,22177,21375,21476,461496
2018-12-12,21475,22277,21174,22078,393740
2018-12-13,22378,22980,22178,22379,494887
2018-12-14,22177,22377,21877,22078,196803
2018-12-17,22078,22480,21777,22179,173155
2018-12-18,21776,22277,21475,21777,188963
2018-12-19,21777,21878,21275,21677,218497
2018-12-20,21474,21474,20271,20673,579446
2018-12-21,20572,20973,20271,20974,429650
2018-12-24,20974,20974,20071,20272,320266
2018-12-26,19868,20170,19669,19770,492532
2018-12-27,20171,20471,20070,20372,217247
2018-12-28,20271,20972,20271,20673,190847
2019-01-02,20774,21075,20372,20473,173462
2019-01-03,20573,21175,20172,20573,293989
2019-01-04,20473,20874,20372,20774,251728
2019-01-07,21073,21474,20472,20673,378153
2019-01-08,20571,20671,19970,20051,450462
2019-01-09,20172,20573,20071,20473,357096
2019-01-10,20272,20673,20172,20272,291573
2019-01-11,20272,20774,20272,20473,180561
2019-01-14,20471,20471,20030,20071,243305
2019-01-15,20069,20571,19970,20051,381581
2019-01-16,20170,20270,20030,20071,217209
2019-01-17,20069,20471,19769,19770,434803
2019-01-18,19870,20051,19850,19991,291588
2019-01-21,20049,20069,19809,19830,252620
2019-01-22,19951,20573,19931,20473,448490
2019-01-23,20372,20673,20172,20573,360462
2019-01-24,20573,20774,20272,20473,282408
2019-01-25,20372,20673,20272,20573,355017
2019-01-28,20673,20874,20372,20473,275296
2019-01-29,20372,20473,20272,20473,225138
2019-01-30,20471,20571,19970,20051,565397
2019-01-31,20172,20172,19830,19931,546040
2019-02-01,19951,20172,19911,19991,388183
2019-02-07,20069,20069,19809,19870,307297
2019-02-08,19810,19891,19690,19710,314884
2019-02-11,19768,19808,19127,19188,906796
2019-02-12,19187,19367,18725,19268,599314
2019-02-13,19369,19850,19168,19690,519566
2019-02-14,19630,20272,19288,20172,849160
2019-02-15,20371,20772,20171,20372,653634
2019-02-18,20573,20673,20272,20473,355745
2019-02-19,20370,20471,20070,20071,231131
2019-02-20,20172,20272,19770,20011,387109
2019-02-21,20029,20270,19829,19850,328444
2019-02-22,19971,20172,19830,19931,294247
2019-02-25,19951,20031,19690,19730,370483
2019-02-26,19750,20774,19750,20774,1238902
2019-02-27,20974,21175,20673,21075,551979
2019-02-28,21075,21376,20774,20774,733261
2019-03-04,21174,21876,21074,21777,853038
2019-03-05,21677,21677,21175,21376,472504
2019-03-06,21474,21675,20873,21175,298220
2019-03-07,21173,21474,20773,20974,330354
2019-03-08,21878,21978,21376,21577,792787
2019-03-11,21675,21675,20973,21275,276026
2019-03-12,21376,21476,20774,20774,380777
2019-03-13,20873,21374,20773,20874,240466
2019-03-14,21075,21577,20974,21376,444051
2019-03-15,21376,21777,21376,21577,463768
2019-03-18,21677,21777,21476,21577,197291
2019-03-19,21577,21777,20573,20573,605054
2019-03-20,20673,20774,20071,20473,492001
2019-03-21,20473,20874,20372,20573,230173
2019-03-22,20672,20972,20672,20874,239614
2019-03-25,20473,20874,20372,20473,171747
2019-03-26,20572,21173,20472,20874,257452
2019-03-27,20974,20974,20473,20573,208707
2019-03-28,20473,20874,20473,20573,162966
2019-03-29,20673,20874,20573,20774,153823
2019-04-01,20772,20872,20472,20673,216132
2019-04-02,20774,20874,20473,20774,227338
2019-04-03,20673,20874,20473,20573,294101
2019-04-04,20573,20673,20372,20573,261063
2019-04-05,20573,20673,20473,20573,132105
2019-04-08,20673,20774,20372,20473,203479
2019-04-09,20473,20473,20071,20172,383038
2019-04-10,20272,20673,20172,20573,263334
2019-04-11,20673,20673,20372,20573,253796
2019-04-12,20573,20573,20372,20573,162349
2019-04-15,20874,22179,20673,22179,1228969
2019-04-16,22780,23684,22580,23584,1744272
2019-04-17,23483,23884,23182,23584,653103
2019-04-18,23883,23983,23282,23383,443925
2019-04-19,23481,23883,23081,23483,329620
2019-04-22,23683,24184,23482,23684,457505
2019-04-23,23782,23983,23282,23383,259471
