Date,Open,High,Low,Close,Volume
2019-04-22,204942,210099,204472,206819,883326
2019-04-23,208225,210569,203065,207757,628952
2019-04-24,209161,209630,204472,204474,451246
2019-04-25,202597,205410,196970,198378,531785
2019-04-26,197439,201191,196500,198847,365635
2019-04-29,200254,203067,198847,202599,273604
2019-04-30,202597,202597,198377,198847,290786
2019-05-02,198845,198845,194156,194157,468421
2019-05-03,194155,194624,189935,191812,432470
2019-05-07,188529,195562,188529,192750,419722
2019-05-08,189935,194156,189935,192750,326458
2019-05-09,196033,199783,195095,196971,932863
2019-05-10,196031,196031,186183,188998,698530
2019-05-13,187589,190402,181492,182432,553974
2019-05-14,180555,187119,180555,183370,499475
2019-05-15,185245,186182,183369,183839,355239
2019-05-16,185247,189467,182902,184309,422681
2019-05-17,187589,189464,182900,183370,267915
2019-05-20,183370,185247,175398,176336,544930
2019-05-21,171644,174458,169300,169770,1185909
2019-05-22,171176,173990,171176,173053,526469
2019-05-23,173519,173989,168831,169301,552247
2019-05-24,168362,171174,166955,169770,392471
2019-05-27,170237,170706,161327,163204,748422
2019-05-28,163202,174457,163202,174459,932491
2019-05-29,174459,175398,170708,173991,573479
2019-05-30,173989,175395,170706,174459,430348
2019-05-31,173520,181492,173052,178212,668079
2019-06-03,177743,181026,175867,181026,503711
2019-06-04,181962,184774,179147,183370,413329
2019-06-05,186182,186182,182901,183839,296088
2019-06-07,184309,184777,182432,184309,253859
2019-06-10,185714,186652,183838,186184,297463
2019-06-11,186183,190403,185714,189467,378455
2019-06-12,190404,191811,188529,191343,314449
2019-06-13,191811,194156,191342,194157,510362
2019-06-14,193688,193688,187592,188530,419888
2019-06-17,188529,192749,187121,192281,326571
2019-06-18,192280,196970,191811,195095,434738
2019-06-19,197439,198845,196032,198378,381552
2019-06-20,199315,200722,198377,200723,310658
2019-06-21,201192,201661,196971,199316,841165
2019-06-24,199314,200721,194625,195564,348624
2019-06-25,195094,196031,191342,195095,383434
2019-06-26,195094,198377,192749,197440,306633
2019-06-27,194624,196031,190404,191343,609613
2019-06-28,190404,193218,188997,192750,283880
2019-07-01,193218,196031,191811,195095,381740
2019-07-02,194155,196031,191811,192281,220246
2019-07-03,192749,195094,191811,193219,190241
2019-07-04,192750,193688,189936,190875,297631
2019-07-05,190874,195094,190874,195095,262434
2019-07-08,194625,196500,192749,193219,350520
2019-07-09,192281,193218,172584,180557,1473892
2019-07-10,181494,182902,175867,177274,646044
2019-07-11,177743,181026,176336,179619,751776
2019-07-12,178678,179146,175865,176804,351584
2019-07-15,177272,178679,169769,172115,629792
2019-07-16,171175,179146,171175,176804,537087
2019-07-17,177272,177741,171176,173053,470563
2019-07-18,171174,173051,168362,169301,572978
2019-07-19,169300,173520,169300,173053,453800
2019-07-22,173990,175865,172583,173053,270774
2019-07-23,173051,173519,169769,170708,355671
2019-07-24,171175,171644,166955,168832,466319
2019-07-25,167893,169299,165549,166956,515167
2019-07-26,166016,174457,166016,173521,582949
2019-07-29,172113,173051,167893,167894,433879
2019-07-30,168361,172113,166017,166018,505434
2019-07-31,165080,165550,155232,159922,1349890
2019-08-01,158984,164611,158984,159922,693633
2019-08-02,158045,159922,152418,153356,1247036
2019-08-05,150070,151946,136470,136472,3101964
2019-08-06,129436,145380,128967,137410,3426659
2019-08-07,141162,143507,136942,139287,1239839
2019-08-08,141161,144444,140692,144445,1077964
2019-08-09,145851,149133,144913,145852,792762
2019-08-12,145382,147258,142099,145383,545830
2019-08-13,143506,145850,142569,143507,390460
2019-08-14,149602,149602,143975,143976,607181
2019-08-16,143037,144913,140692,144445,414772
2019-08-19,144913,146788,142569,143507,331502
2019-08-20,143975,145382,142569,145383,330814
2019-08-21,145382,150539,144913,146790,593283
2019-08-22,147257,148194,142569,143038,497935
2019-08-23,140223,143506,139754,142100,431910
2019-08-26,138348,140225,131782,132721,1170629
2019-08-27,136472,138817,134597,136004,739633
2019-08-28,136003,146789,135064,146321,1109554
2019-08-29,146789,151477,144913,147259,1018768
2019-08-30,150539,151009,146789,147259,502672
2019-09-02,146320,149133,143037,146790,380075
2019-09-03,146788,152884,146788,150541,803172
2019-09-04,150071,157574,150071,157107,809996
2019-09-05,158511,159449,152885,153824,646888
2019-09-06,154761,155700,151948,155232,354981
2019-09-09,157107,157107,154762,155701,319810
2019-09-10,156166,157574,154292,154762,324994
2019-09-11,156167,160387,155699,158514,995168
2019-09-16,158984,160390,156169,159922,571746
2019-09-17,159920,163670,158512,160390,731052
2019-09-18,161795,164608,161326,162735,551625
2019-09-19,163671,164140,156638,158045,766855
2019-09-20,158513,165079,158513,164611,595515
2019-09-23,165547,165547,158512,160390,884762
2019-09-24,158044,159920,155700,158045,825451
2019-09-25,158042,160387,155230,156169,588251
2019-09-26,157107,159452,155232,156639,403484
2019-09-27,158045,158514,154762,155701,265476
2019-09-30,156166,156636,150539,153824,514888
2019-10-01,158512,163670,156167,162735,1232784
2019-10-02,161326,165547,160388,161797,614668
2019-10-04,161797,163673,160390,162267,430560
2019-10-07,163203,168361,162266,167425,703398
2019-10-08,168362,170707,164610,169301,623940
2019-10-10,167893,170706,166486,169770,607459
2019-10-11,170707,173519,168831,170239,508087
2019-10-14,172581,172581,169299,171176,326855
2019-10-15,170707,172583,169300,172115,251875
2019-10-16,174928,176335,173052,175398,446617
2019-10-17,176804,178212,174929,176336,386801
2019-10-18,176334,176802,169769,170239,435152
2019-10-21,169769,173051,167424,170708,380996
2019-10-22,172115,181026,171176,179619,1075991
2019-10-23,181026,189936,181026,184309,1574542
2019-10-24,181492,184775,177272,184777,902749
2019-10-25,186181,188995,182900,184777,508707
2019-10-28,185715,188530,184777,188530,395313
2019-10-29,189466,193686,189466,192750,615245
2019-10-30,194156,194156,189466,191343,421777
2019-10-31,193687,193687,187592,187592,524708
2019-11-01,187591,187591,183838,186653,519587
2019-11-04,188058,188528,185246,186184,486729
2019-11-05,185715,186653,183839,185247,442508
2019-11-06,186653,186653,184309,184309,349162
2019-11-07,187589,188527,177741,179149,1023475
2019-11-08,181494,181494,174460,176336,807604
2019-11-11,175864,176801,170706,174459,640182
2019-11-12,173991,175867,172584,173991,411263
2019-11-13,172582,173989,169769,169770,518524
2019-11-14,171175,175397,170707,174929,585992
2019-11-15,175395,175864,172582,174459,379577
2019-11-18,175397,176334,173990,174929,280805
2019-11-19,174457,174927,170707,172115,395894
2019-11-20,172114,173990,170707,173053,411474
2019-11-21,174457,174457,163203,166018,865834
2019-11-22,164610,166485,160858,164142,619085
2019-11-25,165079,170238,165079,169770,504384
2019-11-26,173051,173989,168831,168832,701187
2019-11-27,171645,174457,167893,172584,589879
2019-11-28,171644,173989,166955,167425,466884
2019-11-29,167423,167892,161327,163204,590691
2019-12-02,164141,166486,163203,164611,346391
2019-12-03,162266,164610,161327,163673,285238
2019-12-04,162264,164139,159450,160390,427490
2019-12-05,161795,162265,155231,158045,581994
2019-12-06,158512,160856,158043,159452,337447
2019-12-09,159452,160390,157107,157577,346240
2019-12-10,157574,158511,154760,156169,558446
2019-12-11,156169,156639,153824,154294,484732
2019-12-12,155230,160857,154760,160390,961611
2019-12-13,162733,163202,159451,161328,611433
2019-12-16,161325,162264,158512,159452,349331
2019-12-17,159921,168362,158983,167894,956542
2019-12-18,170706,170706,166017,166487,568183
2019-12-19,168362,171644,167424,169301,688837
2019-12-20,170238,171645,168831,170708,553057
2019-12-23,171645,177272,171645,174929,872033
2019-12-24,176333,177271,172582,173521,684744
2019-12-26,175397,178211,173520,177743,2138836
2019-12-27,179706,183633,176760,180689,1406310
2019-12-30,179705,181669,177251,177743,527906
2020-01-02,177742,179705,172832,176761,621826
2020-01-03,178232,179214,173814,174306,498043
2020-01-06,170868,172340,169395,169887,575093
2020-01-07,171359,175778,170868,174797,457371
2020-01-08,171850,172831,167431,169887,891120
2020-01-09,174795,176268,171850,173815,519560
2020-01-10,175286,175286,171850,174306,431127
2020-01-13,175778,177741,175287,176270,453131
2020-01-14,176269,178232,173814,174797,506237
2020-01-15,174795,175286,172832,173324,293546
2020-01-16,172832,183142,170868,177252,1272730
2020-01-17,177250,177741,170868,171851,818082
2020-01-20,170868,171849,168904,169396,568512
2020-01-21,170868,172340,169395,169396,413021
2020-01-22,169395,173323,169395,173324,380522
2020-01-23,174304,174304,170868,172342,349287
2020-01-28,167431,170376,166940,167432,677942
2020-01-29,169395,169886,166940,167923,490096
2020-01-30,168903,169885,162521,163995,632053
2020-01-31,164977,168414,162031,162031,587953
2020-02-03,159084,164485,157120,163504,682627
2020-02-04,164485,166448,162030,164486,714181
2020-02-05,165959,166450,160558,161540,654917
2020-02-06,163012,170868,162521,169396,831467
2020-02-07,170376,170867,166940,168414,430732
2020-02-10,167922,172340,166449,169887,496142
2020-02-11,170868,173322,169395,170378,433405
2020-02-12,170868,171850,168904,170869,326275
2020-02-13,172341,177741,172341,175288,1215090
2020-02-14,174796,178724,174305,177743,645545
2020-02-17,179215,184125,179215,182653,798265
2020-02-18,183633,183633,179215,181180,550403
2020-02-19,182651,183633,176760,178234,738862
2020-02-20,178723,179214,173323,175779,753214
2020-02-21,173323,177741,172832,173815,448780
2020-02-24,169394,171358,165958,165959,768670
2020-02-25,165958,169886,165467,169396,568928
2020-02-26,166940,173813,165958,169887,767937
2020-02-27,170376,171849,165958,167432,658855
2020-02-28,164976,168413,163994,166941,819064
2020-03-02,167431,171850,165467,171851,658143
2020-03-03,175286,175777,168904,169396,655782
2020-03-04,168413,171850,167922,171360,427029
2020-03-05,173814,178724,171359,178725,908489
2020-03-06,178232,179705,173814,174306,706838
2020-03-09,171850,177250,170377,170869,992060
2020-03-10,168904,177742,165958,177743,1203990
2020-03-11,176759,178723,169886,171851,816884
2020-03-12,170377,174795,165467,169396,1210096
2020-03-13,162030,170867,153683,167432,2228505
2020-03-16,172833,174797,162522,162522,1054288
2020-03-17,155156,167921,155156,164977,1400196
2020-03-18,164977,167923,154175,154175,1214771
2020-03-19,160558,161540,136008,137481,2890238
2020-03-20,142882,150247,138463,149756,2019176
2020-03-23,142881,181178,142390,171851,6685918
2020-03-24,175287,187070,173814,180689,3903710
2020-03-25,187561,188052,174305,179707,2334554
2020-03-26,178724,187561,175287,178234,2441069
2020-03-27,185106,186579,175287,180689,1927549
2020-03-30,178724,183142,178233,181671,937759
2020-03-31,184126,228317,182162,224880,11131989
2020-04-01,229788,231752,194436,194437,5208192
2020-04-02,182652,194926,178724,191491,8664631
2020-04-03,188053,213093,188053,192473,4151869
2020-04-06,198855,208674,196891,205239,2778989
2020-04-07,204747,210638,199346,206221,2206806
2020-04-08,206219,208183,203274,203275,1090103
2020-04-09,207693,212602,204747,206712,1348849
2020-04-10,210147,211129,199346,205730,1741966
2020-04-13,206220,221441,204256,211622,3635512
2020-04-14,216039,216530,208184,212113,1273985
2020-04-16,210639,213584,209657,211131,775217
2020-04-17,211620,212602,201801,207203,1786490
2020-04-20,206711,212111,204256,208185,913363
2020-04-21,209166,214075,203274,208185,1791508
2020-04-22,204256,213584,204256,210149,1123888
2020-04-23,211621,212602,208675,210149,634952
2020-04-24,209656,213093,206711,207694,1076656
2020-04-27,209657,211129,207693,208676,486289
2020-04-28,208674,210147,204256,205239,726697
2020-04-29,205238,207202,203274,206712,654481
2020-05-04,204255,207201,199837,199838,860366
2020-05-06,200819,204255,196891,203275,603987
2020-05-07,202292,203274,199837,200329,402708
2020-05-08,202292,210147,201310,206712,895729
2020-05-11,211129,211620,206220,206712,695048
2020-05-12,208184,213584,206711,207203,982920
2020-05-13,207202,211130,206220,211131,763378
2020-05-14,211130,213094,208184,213095,959332
2020-05-15,215058,217512,211130,213586,827539
2020-05-18,216039,218004,208184,209167,988984
2020-05-19,209166,210638,205238,209167,709054
2020-05-20,210639,215057,209657,214568,661979
2020-05-21,214567,216039,211621,214568,530139
2020-05-22,216039,217021,209166,212113,637408
2020-05-25,212111,212111,209657,211131,371033
2020-05-26,211621,212603,209166,210640,482616
2020-05-27,208184,210148,207202,209167,591712
2020-05-28,208675,209656,202292,207203,716459
2020-05-29,208184,210148,205729,209658,660343
2020-06-01,210149,228317,209167,223407,3410255
2020-06-02,225862,228317,218006,220461,1115810
2020-06-03,227335,230772,220461,223407,1813508
2020-06-04,223407,243538,222916,242556,3037387
2020-06-05,239610,255813,238628,251885,2899453
2020-06-08,255813,258268,248448,251394,1267019
2020-06-09,252376,259741,250412,258759,1345656
2020-06-10,258759,265142,256795,263669,1067682
2020-06-11,274961,294109,269560,282818,3934710
2020-06-12,274961,298038,273979,292147,3865779
2020-06-15,292638,295584,263669,269070,3141867
2020-06-16,277907,291654,277416,288219,2041007
2020-06-17,288709,292636,275452,284291,1647069
2020-06-18,285272,289200,280853,282327,784181
2020-06-19,283799,287236,275943,286255,1087788
2020-06-22,286254,294600,284290,291656,1166332
2020-06-23,300002,323078,297056,312769,4485322
2020-06-24,317677,325042,309822,313260,1956218
2020-06-25,309822,317187,308840,310314,918369
2020-06-26,314240,315222,301966,306877,927851
2020-06-29,310803,320132,305403,305404,1323237
2020-06-30,306384,308839,293619,300494,1517136
2020-07-01,302456,303438,290673,292147,1012051
2020-07-02,292637,305894,292637,302949,1134489
2020-07-03,305894,306384,295092,303931,760954
2020-07-06,302948,307366,299020,300003,759792
2020-07-07,300002,310313,297547,302949,1003857
2020-07-08,306876,310312,302948,305895,709785
2020-07-09,316696,322097,311786,318170,1637528
2020-07-10,322588,325534,310804,318661,1042448
2020-07-13,320624,323570,315223,323080,775224
2020-07-14,321115,325533,316205,318170,842821
2020-07-15,319150,320623,308349,310314,972746
2020-07-16,307858,315714,304912,309332,734412
2020-07-17,312277,324061,309331,322098,1241089
2020-07-20,330444,333390,316696,317188,1391199
2020-07-21,320623,325043,312277,315715,1217900
