Date,Open,High,Low,Close,Volume
2020-11-19,48050,48100,47500,47950,339208
2020-11-20,47650,48450,47550,48250,313210
2020-11-23,48250,49050,48250,49050,550264
2020-11-24,49250,49500,48850,49100,429791
2020-11-25,49350,49400,48100,48450,512762
2020-11-26,48600,49200,48600,49050,421188
2020-11-27,49900,49900,49000,49650,655785
2020-11-30,49700,49800,49000,49450,490301
2020-12-01,49550,49550,48800,48900,489309
2020-12-02,48900,49050,47800,47950,705710
2020-12-03,48350,48700,47950,48150,465327
2020-12-04,48650,50700,48400,49900,2077596
2020-12-07,50400,50400,49000,49200,674837
2020-12-08,49300,50000,49000,49150,506516
2020-12-09,49200,49700,48900,48950,539249
2020-12-10,46950,48150,46900,47300,2821609
2020-12-11,47600,48150,47450,47500,755133
2020-12-14,47550,47550,46750,46950,701953
2020-12-15,46900,46950,46000,46200,3407776
2020-12-16,46100,46950,46100,46350,480240
2020-12-17,46350,46850,46200,46450,523303
2020-12-18,46500,46550,46050,46350,517067
2020-12-21,46650,46700,45800,45900,540766
2020-12-22,45850,45850,45050,45050,638319
2020-12-23,45000,45650,44600,44900,565013
2020-12-24,45150,45500,44800,45250,453094
2020-12-28,45250,45500,44900,45500,511144
2020-12-29,45700,45750,45300,45450,358189
2020-12-30,45450,46400,45250,46000,468697
2021-01-04,46300,46300,45750,46000,511567
2021-01-05,46000,46600,45600,46600,743739
2021-01-06,46650,46650,46000,46050,548582
2021-01-07,46050,46300,45950,46150,492689
2021-01-08,46250,48500,45600,47000,2476777
2021-01-11,47100,47800,46250,46700,1400093
2021-01-12,46700,47550,46050,46200,760982
2021-01-13,46200,47300,46200,46700,622144
2021-01-14,46700,47150,46400,46650,541192
2021-01-15,46500,47100,46050,46150,547014
2021-01-18,46000,46050,45300,45400,510766
2021-01-19,45350,45800,45350,45650,360449
2021-01-20,45700,46500,45700,46350,451605
2021-01-21,46550,47050,46500,46650,526311
2021-01-22,46800,49700,46700,48050,3442304
2021-01-25,49100,49750,48600,49650,1861191
2021-01-26,50200,50300,48600,48800,1166446
2021-01-27,48900,49250,48000,48750,696460
2021-01-28,47700,48300,47350,47800,779204
2021-01-29,48200,48400,46200,47300,841565
2021-02-01,47300,51000,47200,50800,3307345
2021-02-02,51700,53000,49900,52700,4246653
2021-02-03,53000,53600,51700,52700,2097260
2021-02-04,52200,52400,50900,51000,1180448
2021-02-05,51100,52700,51100,52400,1354335
2021-02-08,53200,56800,52400,55300,5097477
2021-02-09,55700,56400,54000,54100,1519768
2021-02-10,54500,56500,54200,55400,1847574
2021-02-15,56300,56700,55600,55700,1219446
2021-02-16,55900,56200,54300,55500,1339592
2021-02-17,55300,55400,54200,54700,713624
2021-02-18,54200,55400,54000,54100,681352
2021-02-19,57100,57200,54500,54900,1745985
2021-02-22,55200,55600,53100,53200,914380
2021-02-23,52000,52800,51200,52400,784644
2021-02-24,52300,54300,52300,53700,1214854
2021-02-25,54700,56200,53700,56100,1786744
2021-02-26,54300,55400,53900,54000,1032721
2021-03-02,54700,55100,52200,53000,891832
2021-03-03,52400,53400,52200,53000,382837
2021-03-04,52600,52600,52000,52200,379111
2021-03-05,51400,51400,50200,50900,592589
2021-03-08,51100,51700,49700,49900,516498
2021-03-09,49550,49950,47950,49400,896828
2021-03-10,49100,49300,47900,47950,1041799
2021-03-11,47600,49200,47550,49000,672818
2021-03-12,49150,50700,49100,50500,805218
2021-03-15,50900,51100,50000,50400,410630
2021-03-16,50500,51400,50500,50900,380699
2021-03-17,51000,52000,50900,51600,454635
